X;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1E: 3 N: 4;_SDV2 PI: ELEM-1E: 3 N: 1;_SDV2 PI: ELEM-1E: 3 N: 2;_SDV2 PI: ELEM-1E: 3 N: 3;_SDV2 PI: ELEM-1E: 3 N: 4;_SDV6 PI: ELEM-1E: 3 N: 1;_SDV6 PI: ELEM-1E: 3 N: 2;_SDV6 PI: ELEM-1E: 3 N: 3;_SDV6 PI: ELEM-1E: 3 N: 4;_SDV7 PI: ELEM-1E: 3 N: 1;_SDV7 PI: ELEM-1E: 3 N: 2;_SDV7 PI: ELEM-1E: 3 N: 3;_SDV7 PI: ELEM-1E: 3 N: 4;_SDV15 PI: ELEM-1E: 3 N: 1;_SDV15 PI: ELEM-1E: 3 N: 2;_SDV15 PI: ELEM-1E: 3 N: 3;_SDV15 PI: ELEM-1E: 3 N: 4;_SDV16 PI: ELEM-1E: 3 N: 1;_SDV16 PI: ELEM-1E: 3 N: 2;_SDV16 PI: ELEM-1E: 3 N: 3;_SDV16 PI: ELEM-1E: 3 N: 4;_RF:RF2 PI: ELEM-1 N: 1;_RF:RF2 PI: ELEM-1 N: 2;_RF:RF2 PI: ELEM-1 N: 3;_RF:RF2 PI: ELEM-1 N: 4;_U:U2 PI: ELEM-1N: 1;_U:U2 PI: ELEM-1N: 2;_U:U2 PI: ELEM-1N: 3;_U:U2 PI: ELEM-1N: 4
2.10E-02;1.32E-37;-1.32E-37;1.32E-37;-1.32E-37;7.28E-11;5.82E-11;2.10E-03;2.10E-03;2.44E-01;2.44E-01;2.44E-01;2.44E-01;5.70E-01;5.70E-01;5.70E-01;5.70E-01;2.21E-02;2.21E-02;2.21E-02;2.21E-02;5.65E-04;5.65E-04;5.65E-04;5.65E-04;-2.85E-01;-2.85E-01;2.85E-01;2.85E-01;2.85E-37;2.85E-37;2.10E-03;2.10E-03
2.20E-02;1.37E-37;-1.37E-37;1.37E-37;-1.37E-37;4.37E-11;5.82E-11;2.20E-03;2.20E-03;2.55E-01;2.55E-01;2.55E-01;2.55E-01;5.95E-01;5.95E-01;5.95E-01;5.95E-01;2.43E-02;2.43E-02;2.43E-02;2.43E-02;6.23E-04;6.23E-04;6.23E-04;6.23E-04;-2.97E-01;-2.97E-01;2.97E-01;2.97E-01;2.97E-37;2.97E-37;2.20E-03;2.20E-03
2.30E-02;1.43E-37;-1.43E-37;1.43E-37;-1.43E-37;-2.91E-11;0;2.30E-03;2.30E-03;2.65E-01;2.65E-01;2.65E-01;2.65E-01;6.19E-01;6.19E-01;6.19E-01;6.19E-01;2.66E-02;2.66E-02;2.66E-02;2.66E-02;6.84E-04;6.84E-04;6.84E-04;6.84E-04;-3.09E-01;-3.09E-01;3.09E-01;3.09E-01;3.09E-37;3.09E-37;2.30E-03;2.30E-03
2.40E-02;1.48E-37;-1.48E-37;1.48E-37;-1.48E-37;8.73E-11;5.82E-11;2.40E-03;2.40E-03;2.75E-01;2.75E-01;2.75E-01;2.75E-01;6.43E-01;6.43E-01;6.43E-01;6.43E-01;2.90E-02;2.90E-02;2.90E-02;2.90E-02;7.48E-04;7.48E-04;7.48E-04;7.48E-04;-3.21E-01;-3.21E-01;3.21E-01;3.21E-01;3.21E-37;3.21E-37;2.40E-03;2.40E-03
2.50E-02;1.54E-37;-1.54E-37;1.54E-37;-1.54E-37;0;0;2.50E-03;2.50E-03;2.86E-01;2.86E-01;2.86E-01;2.86E-01;6.66E-01;6.66E-01;6.66E-01;6.66E-01;3.15E-02;3.15E-02;3.15E-02;3.15E-02;8.14E-04;8.14E-04;8.14E-04;8.14E-04;-3.33E-01;-3.33E-01;3.33E-01;3.33E-01;3.33E-37;3.33E-37;2.50E-03;2.50E-03
2.60E-02;1.59E-37;-1.59E-37;1.59E-37;-1.59E-37;-2.91E-11;0;2.60E-03;2.60E-03;2.95E-01;2.95E-01;2.95E-01;2.95E-01;6.89E-01;6.89E-01;6.89E-01;6.89E-01;3.41E-02;3.41E-02;3.41E-02;3.41E-02;8.83E-04;8.83E-04;8.83E-04;8.83E-04;-3.45E-01;-3.45E-01;3.45E-01;3.45E-01;3.45E-37;3.45E-37;2.60E-03;2.60E-03
2.70E-02;1.53E-37;-1.53E-37;1.53E-37;-1.53E-37;2.91E-11;0;2.70E-03;2.70E-03;3.05E-01;3.05E-01;3.05E-01;3.05E-01;7.12E-01;7.12E-01;7.12E-01;7.12E-01;3.68E-02;3.68E-02;3.68E-02;3.68E-02;9.56E-04;9.56E-04;9.56E-04;9.56E-04;-3.56E-01;-3.56E-01;3.56E-01;3.56E-01;3.56E-37;3.56E-37;2.70E-03;2.70E-03
2.80E-02;1.57E-37;-1.57E-37;1.57E-37;-1.57E-37;0;0;2.80E-03;2.80E-03;3.15E-01;3.15E-01;3.15E-01;3.15E-01;7.34E-01;7.34E-01;7.34E-01;7.34E-01;3.96E-02;3.96E-02;3.96E-02;3.96E-02;1.03E-03;1.03E-03;1.03E-03;1.03E-03;-3.67E-01;-3.67E-01;3.67E-01;3.67E-01;3.67E-37;3.67E-37;2.80E-03;2.80E-03
2.90E-02;1.62E-37;-1.62E-37;1.62E-37;-1.62E-37;-2.91E-11;0;2.90E-03;2.90E-03;3.24E-01;3.24E-01;3.24E-01;3.24E-01;7.56E-01;7.56E-01;7.56E-01;7.56E-01;4.24E-02;4.24E-02;4.24E-02;4.24E-02;1.11E-03;1.11E-03;1.11E-03;1.11E-03;-3.78E-01;-3.78E-01;3.78E-01;3.78E-01;3.78E-37;3.78E-37;2.90E-03;2.90E-03
3.00E-02;1.67E-37;-1.67E-37;1.67E-37;-1.67E-37;2.91E-11;0;3.00E-03;3.00E-03;3.33E-01;3.33E-01;3.33E-01;3.33E-01;7.78E-01;7.78E-01;7.78E-01;7.78E-01;4.54E-02;4.54E-02;4.54E-02;4.54E-02;1.19E-03;1.19E-03;1.19E-03;1.19E-03;-3.89E-01;-3.89E-01;3.89E-01;3.89E-01;3.89E-37;3.89E-37;3.00E-03;3.00E-03
