X;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1E: 3 N: 4;_SDV2 PI: ELEM-1E: 3 N: 1;_SDV2 PI: ELEM-1E: 3 N: 2;_SDV2 PI: ELEM-1E: 3 N: 3;_SDV2 PI: ELEM-1E: 3 N: 4;_SDV6 PI: ELEM-1E: 3 N: 1;_SDV6 PI: ELEM-1E: 3 N: 2;_SDV6 PI: ELEM-1E: 3 N: 3;_SDV6 PI: ELEM-1E: 3 N: 4;_SDV7 PI: ELEM-1E: 3 N: 1;_SDV7 PI: ELEM-1E: 3 N: 2;_SDV7 PI: ELEM-1E: 3 N: 3;_SDV7 PI: ELEM-1E: 3 N: 4;_SDV15 PI: ELEM-1E: 3 N: 1;_SDV15 PI: ELEM-1E: 3 N: 2;_SDV15 PI: ELEM-1E: 3 N: 3;_SDV15 PI: ELEM-1E: 3 N: 4;_SDV16 PI: ELEM-1E: 3 N: 1;_SDV16 PI: ELEM-1E: 3 N: 2;_SDV16 PI: ELEM-1E: 3 N: 3;_SDV16 PI: ELEM-1E: 3 N: 4;_RF:RF2 PI: ELEM-1 N: 1;_RF:RF2 PI: ELEM-1 N: 2;_RF:RF2 PI: ELEM-1 N: 3;_RF:RF2 PI: ELEM-1 N: 4;_U:U2 PI: ELEM-1N: 1;_U:U2 PI: ELEM-1N: 2;_U:U2 PI: ELEM-1N: 3;_U:U2 PI: ELEM-1N: 4
5.26E-01;1.18E-37;-1.18E-37;1.18E-37;-1.18E-37;-2.33E-10;0;2.10E-02;2.10E-02;2.18E-01;2.18E-01;2.18E-01;2.18E-01;5.09E-01;5.09E-01;5.09E-01;5.09E-01;7.10E-01;7.10E-01;7.10E-01;7.10E-01;6.13E-02;6.13E-02;6.13E-02;6.13E-02;-2.55E-01;-2.55E-01;2.55E-01;2.55E-01;2.55E-37;2.55E-37;2.10E-02;2.10E-02
5.27E-01;1.16E-37;-1.16E-37;1.16E-37;-1.16E-37;-2.33E-10;0;2.12E-02;2.12E-02;2.15E-01;2.15E-01;2.15E-01;2.15E-01;5.02E-01;5.02E-01;5.02E-01;5.02E-01;7.14E-01;7.14E-01;7.14E-01;7.14E-01;6.23E-02;6.23E-02;6.23E-02;6.23E-02;-2.51E-01;-2.51E-01;2.51E-01;2.51E-01;2.51E-37;2.51E-37;2.12E-02;2.12E-02
5.28E-01;1.14E-37;-1.14E-37;1.14E-37;-1.14E-37;4.66E-10;0;2.13E-02;2.13E-02;2.12E-01;2.12E-01;2.12E-01;2.12E-01;4.94E-01;4.94E-01;4.94E-01;4.94E-01;7.17E-01;7.17E-01;7.17E-01;7.17E-01;6.33E-02;6.33E-02;6.33E-02;6.33E-02;-2.47E-01;-2.47E-01;2.47E-01;2.47E-01;2.47E-37;2.47E-37;2.13E-02;2.13E-02
5.29E-01;1.12E-37;-1.12E-37;1.12E-37;-1.12E-37;-2.33E-10;0;2.15E-02;2.15E-02;2.09E-01;2.09E-01;2.09E-01;2.09E-01;4.87E-01;4.87E-01;4.87E-01;4.87E-01;7.20E-01;7.20E-01;7.20E-01;7.20E-01;6.43E-02;6.43E-02;6.43E-02;6.43E-02;-2.43E-01;-2.43E-01;2.43E-01;2.43E-01;2.43E-37;2.43E-37;2.15E-02;2.15E-02
5.30E-01;1.11E-37;-1.11E-37;1.11E-37;-1.11E-37;6.98E-10;9.31E-10;2.17E-02;2.17E-02;2.06E-01;2.06E-01;2.06E-01;2.06E-01;4.80E-01;4.80E-01;4.80E-01;4.80E-01;7.23E-01;7.23E-01;7.23E-01;7.23E-01;6.53E-02;6.53E-02;6.53E-02;6.53E-02;-2.40E-01;-2.40E-01;2.40E-01;2.40E-01;2.40E-37;2.40E-37;2.17E-02;2.17E-02
5.31E-01;1.09E-37;-1.09E-37;1.09E-37;-1.09E-37;-2.33E-10;0;2.18E-02;2.18E-02;2.03E-01;2.03E-01;2.03E-01;2.03E-01;4.73E-01;4.73E-01;4.73E-01;4.73E-01;7.26E-01;7.26E-01;7.26E-01;7.26E-01;6.64E-02;6.64E-02;6.64E-02;6.64E-02;-2.36E-01;-2.36E-01;2.36E-01;2.36E-01;2.36E-37;2.36E-37;2.18E-02;2.18E-02
5.32E-01;1.08E-37;-1.08E-37;1.08E-37;-1.08E-37;-2.33E-10;0;2.20E-02;2.20E-02;2.00E-01;2.00E-01;2.00E-01;2.00E-01;4.66E-01;4.66E-01;4.66E-01;4.66E-01;7.29E-01;7.29E-01;7.29E-01;7.29E-01;6.74E-02;6.74E-02;6.74E-02;6.74E-02;-2.33E-01;-2.33E-01;2.33E-01;2.33E-01;2.33E-37;2.33E-37;2.20E-02;2.20E-02
5.33E-01;1.06E-37;-1.06E-37;1.06E-37;-1.06E-37;0;0;2.22E-02;2.22E-02;1.97E-01;1.97E-01;1.97E-01;1.97E-01;4.59E-01;4.59E-01;4.59E-01;4.59E-01;7.32E-01;7.32E-01;7.32E-01;7.32E-01;6.84E-02;6.84E-02;6.84E-02;6.84E-02;-2.29E-01;-2.29E-01;2.29E-01;2.29E-01;2.29E-37;2.29E-37;2.22E-02;2.22E-02
5.34E-01;1.04E-37;-1.04E-37;1.04E-37;-1.04E-37;-2.33E-10;0;2.23E-02;2.23E-02;1.94E-01;1.94E-01;1.94E-01;1.94E-01;4.52E-01;4.52E-01;4.52E-01;4.52E-01;7.35E-01;7.35E-01;7.35E-01;7.35E-01;6.95E-02;6.95E-02;6.95E-02;6.95E-02;-2.26E-01;-2.26E-01;2.26E-01;2.26E-01;2.26E-37;2.26E-37;2.23E-02;2.23E-02
5.35E-01;1.03E-37;-1.03E-37;1.03E-37;-1.03E-37;0;0;2.25E-02;2.25E-02;1.91E-01;1.91E-01;1.91E-01;1.91E-01;4.46E-01;4.46E-01;4.46E-01;4.46E-01;7.38E-01;7.38E-01;7.38E-01;7.38E-01;7.05E-02;7.05E-02;7.05E-02;7.05E-02;-2.23E-01;-2.23E-01;2.23E-01;2.23E-01;2.23E-37;2.23E-37;2.25E-02;2.25E-02
5.36E-01;1.01E-37;-1.01E-37;1.01E-37;-1.01E-37;9.31E-10;9.31E-10;2.27E-02;2.27E-02;1.88E-01;1.88E-01;1.88E-01;1.88E-01;4.39E-01;4.39E-01;4.39E-01;4.39E-01;7.41E-01;7.41E-01;7.41E-01;7.41E-01;7.16E-02;7.16E-02;7.16E-02;7.16E-02;-2.20E-01;-2.20E-01;2.20E-01;2.20E-01;2.20E-37;2.20E-37;2.27E-02;2.27E-02
5.37E-01;9.99E-38;-9.99E-38;9.99E-38;-9.99E-38;0;0;2.28E-02;2.28E-02;1.85E-01;1.85E-01;1.85E-01;1.85E-01;4.33E-01;4.33E-01;4.33E-01;4.33E-01;7.44E-01;7.44E-01;7.44E-01;7.44E-01;7.26E-02;7.26E-02;7.26E-02;7.26E-02;-2.16E-01;-2.16E-01;2.16E-01;2.16E-01;2.16E-37;2.16E-37;2.28E-02;2.28E-02
5.38E-01;9.84E-38;-9.84E-38;9.84E-38;-9.84E-38;0;0;2.30E-02;2.30E-02;1.83E-01;1.83E-01;1.83E-01;1.83E-01;4.26E-01;4.26E-01;4.26E-01;4.26E-01;7.47E-01;7.47E-01;7.47E-01;7.47E-01;7.37E-02;7.37E-02;7.37E-02;7.37E-02;-2.13E-01;-2.13E-01;2.13E-01;2.13E-01;2.13E-37;2.13E-37;2.30E-02;2.30E-02
5.39E-01;9.70E-38;-9.70E-38;9.70E-38;-9.70E-38;9.31E-10;9.31E-10;2.32E-02;2.32E-02;1.80E-01;1.80E-01;1.80E-01;1.80E-01;4.20E-01;4.20E-01;4.20E-01;4.20E-01;7.49E-01;7.49E-01;7.49E-01;7.49E-01;7.48E-02;7.48E-02;7.48E-02;7.48E-02;-2.10E-01;-2.10E-01;2.10E-01;2.10E-01;2.10E-37;2.10E-37;2.32E-02;2.32E-02
5.40E-01;9.56E-38;-9.56E-38;9.56E-38;-9.56E-38;0;0;2.33E-02;2.33E-02;1.77E-01;1.77E-01;1.77E-01;1.77E-01;4.14E-01;4.14E-01;4.14E-01;4.14E-01;7.52E-01;7.52E-01;7.52E-01;7.52E-01;7.59E-02;7.59E-02;7.59E-02;7.59E-02;-2.07E-01;-2.07E-01;2.07E-01;2.07E-01;2.07E-37;2.07E-37;2.33E-02;2.33E-02
5.41E-01;9.42E-38;-9.42E-38;9.42E-38;-9.42E-38;0;0;2.35E-02;2.35E-02;1.75E-01;1.75E-01;1.75E-01;1.75E-01;4.08E-01;4.08E-01;4.08E-01;4.08E-01;7.55E-01;7.55E-01;7.55E-01;7.55E-01;7.70E-02;7.70E-02;7.70E-02;7.70E-02;-2.04E-01;-2.04E-01;2.04E-01;2.04E-01;2.04E-37;2.04E-37;2.35E-02;2.35E-02
5.42E-01;9.29E-38;-9.29E-38;9.29E-38;-9.29E-38;2.33E-10;0;2.37E-02;2.37E-02;1.72E-01;1.72E-01;1.72E-01;1.72E-01;4.02E-01;4.02E-01;4.02E-01;4.02E-01;7.57E-01;7.57E-01;7.57E-01;7.57E-01;7.81E-02;7.81E-02;7.81E-02;7.81E-02;-2.01E-01;-2.01E-01;2.01E-01;2.01E-01;2.01E-37;2.01E-37;2.37E-02;2.37E-02
5.43E-01;9.15E-38;-9.15E-38;9.15E-38;-9.15E-38;9.31E-10;9.31E-10;2.38E-02;2.38E-02;1.70E-01;1.70E-01;1.70E-01;1.70E-01;3.96E-01;3.96E-01;3.96E-01;3.96E-01;7.60E-01;7.60E-01;7.60E-01;7.60E-01;7.92E-02;7.92E-02;7.92E-02;7.92E-02;-1.98E-01;-1.98E-01;1.98E-01;1.98E-01;1.98E-37;1.98E-37;2.38E-02;2.38E-02
5.44E-01;9.02E-38;-9.02E-38;9.02E-38;-9.02E-38;2.33E-10;0;2.40E-02;2.40E-02;1.67E-01;1.67E-01;1.67E-01;1.67E-01;3.91E-01;3.91E-01;3.91E-01;3.91E-01;7.63E-01;7.63E-01;7.63E-01;7.63E-01;8.03E-02;8.03E-02;8.03E-02;8.03E-02;-1.95E-01;-1.95E-01;1.95E-01;1.95E-01;1.95E-37;1.95E-37;2.40E-02;2.40E-02
5.45E-01;8.89E-38;-8.89E-38;8.89E-38;-8.89E-38;1.16E-09;9.31E-10;2.42E-02;2.42E-02;1.65E-01;1.65E-01;1.65E-01;1.65E-01;3.85E-01;3.85E-01;3.85E-01;3.85E-01;7.65E-01;7.65E-01;7.65E-01;7.65E-01;8.14E-02;8.14E-02;8.14E-02;8.14E-02;-1.93E-01;-1.93E-01;1.93E-01;1.93E-01;1.93E-37;1.93E-37;2.42E-02;2.42E-02
5.46E-01;8.76E-38;-8.76E-38;8.76E-38;-8.76E-38;2.33E-10;0;2.43E-02;2.43E-02;1.63E-01;1.63E-01;1.63E-01;1.63E-01;3.80E-01;3.80E-01;3.80E-01;3.80E-01;7.68E-01;7.68E-01;7.68E-01;7.68E-01;8.26E-02;8.26E-02;8.26E-02;8.26E-02;-1.90E-01;-1.90E-01;1.90E-01;1.90E-01;1.90E-37;1.90E-37;2.43E-02;2.43E-02
5.47E-01;8.64E-38;-8.64E-38;8.64E-38;-8.64E-38;2.33E-10;0;2.45E-02;2.45E-02;1.60E-01;1.60E-01;1.60E-01;1.60E-01;3.74E-01;3.74E-01;3.74E-01;3.74E-01;7.70E-01;7.70E-01;7.70E-01;7.70E-01;8.37E-02;8.37E-02;8.37E-02;8.37E-02;-1.87E-01;-1.87E-01;1.87E-01;1.87E-01;1.87E-37;1.87E-37;2.45E-02;2.45E-02
5.48E-01;8.52E-38;-8.52E-38;8.52E-38;-8.52E-38;4.66E-10;0;2.47E-02;2.47E-02;1.58E-01;1.58E-01;1.58E-01;1.58E-01;3.69E-01;3.69E-01;3.69E-01;3.69E-01;7.72E-01;7.72E-01;7.72E-01;7.72E-01;8.48E-02;8.48E-02;8.48E-02;8.48E-02;-1.84E-01;-1.84E-01;1.84E-01;1.84E-01;1.84E-37;1.84E-37;2.47E-02;2.47E-02
5.49E-01;8.40E-38;-8.40E-38;8.40E-38;-8.40E-38;2.33E-10;0;2.48E-02;2.48E-02;1.56E-01;1.56E-01;1.56E-01;1.56E-01;3.64E-01;3.64E-01;3.64E-01;3.64E-01;7.75E-01;7.75E-01;7.75E-01;7.75E-01;8.60E-02;8.60E-02;8.60E-02;8.60E-02;-1.82E-01;-1.82E-01;1.82E-01;1.82E-01;1.82E-37;1.82E-37;2.48E-02;2.48E-02
5.50E-01;8.28E-38;-8.28E-38;8.28E-38;-8.28E-38;2.33E-10;0;2.50E-02;2.50E-02;1.54E-01;1.54E-01;1.54E-01;1.54E-01;3.58E-01;3.58E-01;3.58E-01;3.58E-01;7.77E-01;7.77E-01;7.77E-01;7.77E-01;8.72E-02;8.72E-02;8.72E-02;8.72E-02;-1.79E-01;-1.79E-01;1.79E-01;1.79E-01;1.79E-37;1.79E-37;2.50E-02;2.50E-02
5.51E-01;8.16E-38;-8.16E-38;8.16E-38;-8.16E-38;4.66E-10;0;2.52E-02;2.52E-02;1.51E-01;1.51E-01;1.51E-01;1.51E-01;3.53E-01;3.53E-01;3.53E-01;3.53E-01;7.79E-01;7.79E-01;7.79E-01;7.79E-01;8.83E-02;8.83E-02;8.83E-02;8.83E-02;-1.77E-01;-1.77E-01;1.77E-01;1.77E-01;1.77E-37;1.77E-37;2.52E-02;2.52E-02
5.52E-01;8.04E-38;-8.04E-38;8.04E-38;-8.04E-38;6.98E-10;9.31E-10;2.53E-02;2.53E-02;1.49E-01;1.49E-01;1.49E-01;1.49E-01;3.48E-01;3.48E-01;3.48E-01;3.48E-01;7.82E-01;7.82E-01;7.82E-01;7.82E-01;8.95E-02;8.95E-02;8.95E-02;8.95E-02;-1.74E-01;-1.74E-01;1.74E-01;1.74E-01;1.74E-37;1.74E-37;2.53E-02;2.53E-02
5.53E-01;7.93E-38;-7.93E-38;7.93E-38;-7.93E-38;0;0;2.55E-02;2.55E-02;1.47E-01;1.47E-01;1.47E-01;1.47E-01;3.44E-01;3.44E-01;3.44E-01;3.44E-01;7.84E-01;7.84E-01;7.84E-01;7.84E-01;9.07E-02;9.07E-02;9.07E-02;9.07E-02;-1.72E-01;-1.72E-01;1.72E-01;1.72E-01;1.72E-37;1.72E-37;2.55E-02;2.55E-02
5.54E-01;7.82E-38;-7.82E-38;7.82E-38;-7.82E-38;9.31E-10;9.31E-10;2.57E-02;2.57E-02;1.45E-01;1.45E-01;1.45E-01;1.45E-01;3.39E-01;3.39E-01;3.39E-01;3.39E-01;7.86E-01;7.86E-01;7.86E-01;7.86E-01;9.19E-02;9.19E-02;9.19E-02;9.19E-02;-1.69E-01;-1.69E-01;1.69E-01;1.69E-01;1.69E-37;1.69E-37;2.57E-02;2.57E-02
5.55E-01;7.71E-38;-7.71E-38;7.71E-38;-7.71E-38;0;0;2.58E-02;2.58E-02;1.43E-01;1.43E-01;1.43E-01;1.43E-01;3.34E-01;3.34E-01;3.34E-01;3.34E-01;7.88E-01;7.88E-01;7.88E-01;7.88E-01;9.31E-02;9.31E-02;9.31E-02;9.31E-02;-1.67E-01;-1.67E-01;1.67E-01;1.67E-01;1.67E-37;1.67E-37;2.58E-02;2.58E-02
5.56E-01;7.60E-38;-7.60E-38;7.60E-38;-7.60E-38;0;0;2.60E-02;2.60E-02;1.41E-01;1.41E-01;1.41E-01;1.41E-01;3.29E-01;3.29E-01;3.29E-01;3.29E-01;7.90E-01;7.90E-01;7.90E-01;7.90E-01;9.43E-02;9.43E-02;9.43E-02;9.43E-02;-1.65E-01;-1.65E-01;1.65E-01;1.65E-01;1.65E-37;1.65E-37;2.60E-02;2.60E-02
5.57E-01;7.50E-38;-7.50E-38;7.50E-38;-7.50E-38;2.33E-10;0;2.62E-02;2.62E-02;1.39E-01;1.39E-01;1.39E-01;1.39E-01;3.25E-01;3.25E-01;3.25E-01;3.25E-01;7.93E-01;7.93E-01;7.93E-01;7.93E-01;9.56E-02;9.56E-02;9.56E-02;9.56E-02;-1.62E-01;-1.62E-01;1.62E-01;1.62E-01;1.62E-37;1.62E-37;2.62E-02;2.62E-02
5.58E-01;7.39E-38;-7.39E-38;7.39E-38;-7.39E-38;0;0;2.63E-02;2.63E-02;1.37E-01;1.37E-01;1.37E-01;1.37E-01;3.20E-01;3.20E-01;3.20E-01;3.20E-01;7.95E-01;7.95E-01;7.95E-01;7.95E-01;9.68E-02;9.68E-02;9.68E-02;9.68E-02;-1.60E-01;-1.60E-01;1.60E-01;1.60E-01;1.60E-37;1.60E-37;2.63E-02;2.63E-02
5.59E-01;7.29E-38;-7.29E-38;7.29E-38;-7.29E-38;2.33E-10;0;2.65E-02;2.65E-02;1.35E-01;1.35E-01;1.35E-01;1.35E-01;3.16E-01;3.16E-01;3.16E-01;3.16E-01;7.97E-01;7.97E-01;7.97E-01;7.97E-01;9.80E-02;9.80E-02;9.80E-02;9.80E-02;-1.58E-01;-1.58E-01;1.58E-01;1.58E-01;1.58E-37;1.58E-37;2.65E-02;2.65E-02
5.60E-01;7.19E-38;-7.19E-38;7.19E-38;-7.19E-38;0;0;2.67E-02;2.67E-02;1.33E-01;1.33E-01;1.33E-01;1.33E-01;3.11E-01;3.11E-01;3.11E-01;3.11E-01;7.99E-01;7.99E-01;7.99E-01;7.99E-01;9.93E-02;9.93E-02;9.93E-02;9.93E-02;-1.56E-01;-1.56E-01;1.56E-01;1.56E-01;1.56E-37;1.56E-37;2.67E-02;2.67E-02
5.61E-01;7.09E-38;-7.09E-38;7.09E-38;-7.09E-38;4.66E-10;0;2.68E-02;2.68E-02;1.32E-01;1.32E-01;1.32E-01;1.32E-01;3.07E-01;3.07E-01;3.07E-01;3.07E-01;8.01E-01;8.01E-01;8.01E-01;8.01E-01;1.01E-01;1.01E-01;1.01E-01;1.01E-01;-1.54E-01;-1.54E-01;1.54E-01;1.54E-01;1.54E-37;1.54E-37;2.68E-02;2.68E-02
5.62E-01;6.99E-38;-6.99E-38;6.99E-38;-6.99E-38;-2.33E-10;0;2.70E-02;2.70E-02;1.30E-01;1.30E-01;1.30E-01;1.30E-01;3.03E-01;3.03E-01;3.03E-01;3.03E-01;8.03E-01;8.03E-01;8.03E-01;8.03E-01;1.02E-01;1.02E-01;1.02E-01;1.02E-01;-1.51E-01;-1.51E-01;1.51E-01;1.51E-01;1.51E-37;1.51E-37;2.70E-02;2.70E-02
5.63E-01;6.89E-38;-6.89E-38;6.89E-38;-6.89E-38;4.66E-10;9.31E-10;2.72E-02;2.72E-02;1.28E-01;1.28E-01;1.28E-01;1.28E-01;2.99E-01;2.99E-01;2.99E-01;2.99E-01;8.05E-01;8.05E-01;8.05E-01;8.05E-01;1.03E-01;1.03E-01;1.03E-01;1.03E-01;-1.49E-01;-1.49E-01;1.49E-01;1.49E-01;1.49E-37;1.49E-37;2.72E-02;2.72E-02
5.64E-01;6.80E-38;-6.80E-38;6.80E-38;-6.80E-38;-2.33E-10;0;2.73E-02;2.73E-02;1.26E-01;1.26E-01;1.26E-01;1.26E-01;2.95E-01;2.95E-01;2.95E-01;2.95E-01;8.07E-01;8.07E-01;8.07E-01;8.07E-01;1.04E-01;1.04E-01;1.04E-01;1.04E-01;-1.47E-01;-1.47E-01;1.47E-01;1.47E-01;1.47E-37;1.47E-37;2.73E-02;2.73E-02
5.65E-01;6.71E-38;-6.71E-38;6.71E-38;-6.71E-38;6.98E-10;9.31E-10;2.75E-02;2.75E-02;1.25E-01;1.25E-01;1.25E-01;1.25E-01;2.91E-01;2.91E-01;2.91E-01;2.91E-01;8.09E-01;8.09E-01;8.09E-01;8.09E-01;1.06E-01;1.06E-01;1.06E-01;1.06E-01;-1.45E-01;-1.45E-01;1.45E-01;1.45E-01;1.45E-37;1.45E-37;2.75E-02;2.75E-02
5.66E-01;6.62E-38;-6.62E-38;6.62E-38;-6.62E-38;-2.33E-10;0;2.77E-02;2.77E-02;1.23E-01;1.23E-01;1.23E-01;1.23E-01;2.87E-01;2.87E-01;2.87E-01;2.87E-01;8.10E-01;8.10E-01;8.10E-01;8.10E-01;1.07E-01;1.07E-01;1.07E-01;1.07E-01;-1.43E-01;-1.43E-01;1.43E-01;1.43E-01;1.43E-37;1.43E-37;2.77E-02;2.77E-02
5.67E-01;6.53E-38;-6.53E-38;6.53E-38;-6.53E-38;-2.33E-10;0;2.78E-02;2.78E-02;1.21E-01;1.21E-01;1.21E-01;1.21E-01;2.83E-01;2.83E-01;2.83E-01;2.83E-01;8.12E-01;8.12E-01;8.12E-01;8.12E-01;1.08E-01;1.08E-01;1.08E-01;1.08E-01;-1.41E-01;-1.41E-01;1.41E-01;1.41E-01;1.41E-37;1.41E-37;2.78E-02;2.78E-02
5.68E-01;6.44E-38;-6.44E-38;6.44E-38;-6.44E-38;0;0;2.80E-02;2.80E-02;1.20E-01;1.20E-01;1.20E-01;1.20E-01;2.79E-01;2.79E-01;2.79E-01;2.79E-01;8.14E-01;8.14E-01;8.14E-01;8.14E-01;1.10E-01;1.10E-01;1.10E-01;1.10E-01;-1.39E-01;-1.39E-01;1.39E-01;1.39E-01;1.39E-37;1.39E-37;2.80E-02;2.80E-02
5.69E-01;6.35E-38;-6.35E-38;6.35E-38;-6.35E-38;6.98E-10;9.31E-10;2.82E-02;2.82E-02;1.18E-01;1.18E-01;1.18E-01;1.18E-01;2.75E-01;2.75E-01;2.75E-01;2.75E-01;8.16E-01;8.16E-01;8.16E-01;8.16E-01;1.11E-01;1.11E-01;1.11E-01;1.11E-01;-1.38E-01;-1.38E-01;1.38E-01;1.38E-01;1.38E-37;1.38E-37;2.82E-02;2.82E-02
5.70E-01;6.27E-38;-6.27E-38;6.27E-38;-6.27E-38;0;0;2.83E-02;2.83E-02;1.16E-01;1.16E-01;1.16E-01;1.16E-01;2.71E-01;2.71E-01;2.71E-01;2.71E-01;8.18E-01;8.18E-01;8.18E-01;8.18E-01;1.12E-01;1.12E-01;1.12E-01;1.12E-01;-1.36E-01;-1.36E-01;1.36E-01;1.36E-01;1.36E-37;1.36E-37;2.83E-02;2.83E-02
5.71E-01;6.18E-38;-6.18E-38;6.18E-38;-6.18E-38;9.31E-10;9.31E-10;2.85E-02;2.85E-02;1.15E-01;1.15E-01;1.15E-01;1.15E-01;2.68E-01;2.68E-01;2.68E-01;2.68E-01;8.19E-01;8.19E-01;8.19E-01;8.19E-01;1.13E-01;1.13E-01;1.13E-01;1.13E-01;-1.34E-01;-1.34E-01;1.34E-01;1.34E-01;1.34E-37;1.34E-37;2.85E-02;2.85E-02
5.72E-01;6.10E-38;-6.10E-38;6.10E-38;-6.10E-38;0;0;2.87E-02;2.87E-02;1.13E-01;1.13E-01;1.13E-01;1.13E-01;2.64E-01;2.64E-01;2.64E-01;2.64E-01;8.21E-01;8.21E-01;8.21E-01;8.21E-01;1.15E-01;1.15E-01;1.15E-01;1.15E-01;-1.32E-01;-1.32E-01;1.32E-01;1.32E-01;1.32E-37;1.32E-37;2.87E-02;2.87E-02
5.73E-01;6.02E-38;-6.02E-38;6.02E-38;-6.02E-38;0;0;2.88E-02;2.88E-02;1.12E-01;1.12E-01;1.12E-01;1.12E-01;2.61E-01;2.61E-01;2.61E-01;2.61E-01;8.23E-01;8.23E-01;8.23E-01;8.23E-01;1.16E-01;1.16E-01;1.16E-01;1.16E-01;-1.30E-01;-1.30E-01;1.30E-01;1.30E-01;1.30E-37;1.30E-37;2.88E-02;2.88E-02
5.74E-01;5.94E-38;-5.94E-38;5.94E-38;-5.94E-38;9.31E-10;9.31E-10;2.90E-02;2.90E-02;1.10E-01;1.10E-01;1.10E-01;1.10E-01;2.57E-01;2.57E-01;2.57E-01;2.57E-01;8.25E-01;8.25E-01;8.25E-01;8.25E-01;1.18E-01;1.18E-01;1.18E-01;1.18E-01;-1.29E-01;-1.29E-01;1.29E-01;1.29E-01;1.29E-37;1.29E-37;2.90E-02;2.90E-02
5.75E-01;5.86E-38;-5.86E-38;5.86E-38;-5.86E-38;0;0;2.92E-02;2.92E-02;1.09E-01;1.09E-01;1.09E-01;1.09E-01;2.54E-01;2.54E-01;2.54E-01;2.54E-01;8.26E-01;8.26E-01;8.26E-01;8.26E-01;1.19E-01;1.19E-01;1.19E-01;1.19E-01;-1.27E-01;-1.27E-01;1.27E-01;1.27E-01;1.27E-37;1.27E-37;2.92E-02;2.92E-02
5.76E-01;5.78E-38;-5.78E-38;5.78E-38;-5.78E-38;0;0;2.93E-02;2.93E-02;1.07E-01;1.07E-01;1.07E-01;1.07E-01;2.50E-01;2.50E-01;2.50E-01;2.50E-01;8.28E-01;8.28E-01;8.28E-01;8.28E-01;1.20E-01;1.20E-01;1.20E-01;1.20E-01;-1.25E-01;-1.25E-01;1.25E-01;1.25E-01;1.25E-37;1.25E-37;2.93E-02;2.93E-02
5.77E-01;5.70E-38;-5.70E-38;5.70E-38;-5.70E-38;2.33E-10;0;2.95E-02;2.95E-02;1.06E-01;1.06E-01;1.06E-01;1.06E-01;2.47E-01;2.47E-01;2.47E-01;2.47E-01;8.29E-01;8.29E-01;8.29E-01;8.29E-01;1.22E-01;1.22E-01;1.22E-01;1.22E-01;-1.24E-01;-1.24E-01;1.24E-01;1.24E-01;1.24E-37;1.24E-37;2.95E-02;2.95E-02
5.78E-01;5.63E-38;-5.63E-38;5.63E-38;-5.63E-38;9.31E-10;9.31E-10;2.97E-02;2.97E-02;1.04E-01;1.04E-01;1.04E-01;1.04E-01;2.44E-01;2.44E-01;2.44E-01;2.44E-01;8.31E-01;8.31E-01;8.31E-01;8.31E-01;1.23E-01;1.23E-01;1.23E-01;1.23E-01;-1.22E-01;-1.22E-01;1.22E-01;1.22E-01;1.22E-37;1.22E-37;2.97E-02;2.97E-02
5.79E-01;5.56E-38;-5.56E-38;5.56E-38;-5.56E-38;2.33E-10;0;2.98E-02;2.98E-02;1.03E-01;1.03E-01;1.03E-01;1.03E-01;2.41E-01;2.41E-01;2.41E-01;2.41E-01;8.33E-01;8.33E-01;8.33E-01;8.33E-01;1.24E-01;1.24E-01;1.24E-01;1.24E-01;-1.20E-01;-1.20E-01;1.20E-01;1.20E-01;1.20E-37;1.20E-37;2.98E-02;2.98E-02
5.80E-01;5.48E-38;-5.48E-38;5.48E-38;-5.48E-38;1.16E-09;9.31E-10;3.00E-02;3.00E-02;1.02E-01;1.02E-01;1.02E-01;1.02E-01;2.37E-01;2.37E-01;2.37E-01;2.37E-01;8.34E-01;8.34E-01;8.34E-01;8.34E-01;1.26E-01;1.26E-01;1.26E-01;1.26E-01;-1.19E-01;-1.19E-01;1.19E-01;1.19E-01;1.19E-37;1.19E-37;3.00E-02;3.00E-02
5.81E-01;5.41E-38;-5.41E-38;5.41E-38;-5.41E-38;2.33E-10;0;3.02E-02;3.02E-02;1.00E-01;1.00E-01;1.00E-01;1.00E-01;2.34E-01;2.34E-01;2.34E-01;2.34E-01;8.36E-01;8.36E-01;8.36E-01;8.36E-01;1.27E-01;1.27E-01;1.27E-01;1.27E-01;-1.17E-01;-1.17E-01;1.17E-01;1.17E-01;1.17E-37;1.17E-37;3.02E-02;3.02E-02
5.82E-01;5.34E-38;-5.34E-38;5.34E-38;-5.34E-38;2.33E-10;0;3.03E-02;3.03E-02;9.91E-02;9.91E-02;9.91E-02;9.91E-02;2.31E-01;2.31E-01;2.31E-01;2.31E-01;8.37E-01;8.37E-01;8.37E-01;8.37E-01;1.29E-01;1.29E-01;1.29E-01;1.29E-01;-1.16E-01;-1.16E-01;1.16E-01;1.16E-01;1.16E-37;1.16E-37;3.03E-02;3.03E-02
